dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
ExchangeRate,variable_channel,0.3,720,misstsm,iTransformer,none,1.8850551160176596,0.48294434493368366,1.0908741227785745,0.1356871929782067,4.80741328716278,6
ExchangeRate,variable_channel,0.3,720,saits,iTransformer,none,22378856.379997354,49407592.15949408,773.6287782486279,1192.3154497609023,94680314.44775474,6
ExchangeRate,variable_channel,0.3,720,simple,iTransformer,linear,1.4588123611609143,0.038413562233707996,0.904672798315684,0.010243325271376244,4.807413287162781,6
Traffic,continuous_segment,0.1,96,coifnet,iTransformer,none,0.6140371893719384,0.007471300549236194,0.3542738148385342,0.0007673803042948374,3.0969604749281623,3
Traffic,continuous_segment,0.1,96,crib,iTransformer,none,0.6154915574587164,0.011677948369244613,0.34594689895607544,0.00632623907637229,1.4772741856314369,6
Traffic,continuous_segment,0.1,96,misstsm,iTransformer,none,0.6893546568934309,0.058679562062822876,0.3779430017057077,0.02901426553923466,1.4772741856314369,6
Traffic,continuous_segment,0.1,96,saits,DLinear,none,0.6444083854243371,0.001519209206445671,0.3941760088770258,0.0016385849661006064,0.9018078895735706,3
Traffic,continuous_segment,0.1,96,saits,PatchTST,none,0.5331135064232576,0.002845646489864915,0.3408610862892043,0.0014862645300648082,0.5655772344521512,3
Traffic,continuous_segment,0.1,96,saits,iTransformer,none,0.429616906597534,0.0020556429697616055,0.29398109744152484,0.0006611980251408851,0.5848271426775212,3
Traffic,continuous_segment,0.1,96,simple,DLinear,linear,0.6945900752755012,0.0009783704562635273,0.4288851674677047,6.40315156437195e-05,2.258325533432865,3
Traffic,continuous_segment,0.1,96,simple,PatchTST,linear,0.5252511319094836,0.0018708223870214733,0.30867294681078056,0.00013045231490269922,2.258325533432865,3
Traffic,continuous_segment,0.1,96,simple,iTransformer,linear,0.4454634629208149,0.0013793158027299835,0.30711756120256356,0.0006823164326285226,2.258325533432865,6
Traffic,continuous_segment,0.1,336,coifnet,iTransformer,none,0.6435730181215942,0.011071808643179836,0.36002161444015707,0.004357339846776835,2.6832027337932836,3
Traffic,continuous_segment,0.1,336,crib,iTransformer,none,0.6615462497901415,0.009038979942981827,0.3657239574272176,0.0013273817376881364,1.499005035628171,3
Traffic,continuous_segment,0.1,336,misstsm,iTransformer,none,0.709105395970382,0.014959531985086491,0.38194379588750405,0.005270463844616469,1.499005035628171,3
Traffic,continuous_segment,0.1,336,saits,DLinear,none,0.6124885007903332,0.0010964654099278298,0.3746921449696298,0.0015478538176253924,0.5918540024757385,3
Traffic,continuous_segment,0.1,336,saits,PatchTST,none,0.5428374995834871,0.007927208649960056,0.334248853418145,0.01672312521312609,0.5683450993465313,3
Traffic,continuous_segment,0.1,336,saits,iTransformer,none,0.4642849028579832,0.001680698514777288,0.30763933662354476,0.001004718840198654,0.5959715020249835,3
Traffic,continuous_segment,0.1,336,simple,DLinear,linear,0.6694898558288734,0.0004931867327307276,0.4220858897311794,0.0004331111355671464,2.300498479733004,3
Traffic,continuous_segment,0.1,336,simple,PatchTST,linear,0.539055689914333,0.003592327026300047,0.3169233855800679,0.001216296349768501,2.300498479733004,3
Traffic,continuous_segment,0.1,336,simple,iTransformer,linear,0.47793500309541154,0.0013780853684794844,0.31911093944639674,0.000986745446307978,2.300498479733004,3
Traffic,continuous_segment,0.3,96,coifnet,iTransformer,none,0.6527526814045123,0.008676467194089005,0.375303086959891,0.003691010650639279,2.908793116907424,3
Traffic,continuous_segment,0.3,96,crib,iTransformer,none,0.6534753998644239,0.0031303148932813846,0.35999363400751117,0.001421026297048974,1.476471806951358,6
Traffic,continuous_segment,0.3,96,misstsm,iTransformer,none,0.6245214203498954,0.010816651347011638,0.3483745903547594,0.003176333488331597,1.476471806951358,9
